ela,edge,noise_texture,sharpness,label
0.96,34.0,42.28,57.32,0
0.81,35.6,39.57,56.91,0
1.25,33.71,39.11,56.94,0
1.25,35.31,42.47,57.47,0
0.81,35.4,42.2,57.33,0
0.93,33.88,40.32,57.28,0
0.65,32.76,39.33,56.81,0
0.42,34.98,40.87,57.19,0
0.8,0.9,52.36,59.25,1
0.31,8.71,46.79,58.94,1
0.69,2.31,56.63,59.73,1
0.7,2.4,58.12,59.65,1
0.55,56.76,13.56,13.38,1
0.71,24.42,54.64,57.93,1
0.69,0.88,51.7,59.58,1
0.55,100.0,54.92,76.31,1
0.76,64.23,4.68,47.47,0
0.96,60.04,2.29,42.15,0
1.1,72.0,6.68,19.88,0
1.08,49.32,5.65,42.36,0
1.18,72.4,8.29,34.03,0
0.56,70.56,1.97,28.73,0
0.56,70.56,1.97,28.73,0
0.99,50.68,1.98,45.01,0
1.01,36.18,60.79,55.48,1
0.6,20.01,61.49,57.24,1
0.92,42.21,60.25,57.86,1
1.02,38.25,58.96,56.23,1
1.01,36.18,60.79,55.48,1
0.91,20.52,61.54,56.98,1
0.68,28.12,55.99,52.14,1
0.63,6.69,62.02,57.9,1
